numepochs,batchsize,learningrate,momentum,weightdecay,cputime,realtime,acc
50,512,1.0E-4,1.0,1.0E-5,6.0074967E10,5.17084742E11,0.708
50,512,1.0E-4,1.0,1.0E-4,6.1659005E10,5.17437063E11,0.73
50,512,1.0E-4,1.0,0.001,6.1453267E10,5.17314052E11,0.7068
50,512,0.001,0.0,1.0E-5,6.1076496E10,5.16693688E11,0.6936
50,512,0.001,0.0,1.0E-4,5.9651764E10,5.15496018E11,0.694
50,512,0.001,0.0,0.001,5.9746886E10,5.15414917E11,0.6876
50,512,0.001,0.5,1.0E-5,5.9725214E10,5.15274179E11,0.6884
50,512,0.001,0.5,1.0E-4,6.1722755E10,5.17760418E11,0.6932
50,512,0.001,0.5,0.001,6.094223E10,5.16844257E11,0.6872
50,512,0.001,0.9,1.0E-5,6.0034105E10,5.20218477E11,0.6932
50,512,0.001,0.9,1.0E-4,6.1185303E10,5.21449964E11,0.686
50,512,0.001,0.9,0.001,6.0248338E10,5.20548712E11,0.6856
50,512,0.001,1.0,1.0E-5,6.1674E10,5.22268934E11,0.6956
50,512,0.001,1.0,1.0E-4,5.9919598E10,5.20082457E11,0.688
50,512,0.001,1.0,0.001,5.6729186E10,5.14874343E11,0.6884
75,50,1.0E-5,0.0,1.0E-5,3.91065862E11,1.51899262E12,0.8652
75,50,1.0E-5,0.0,1.0E-4,3.90537118E11,1.51901045E12,0.8288
75,50,1.0E-5,0.0,0.001,3.88448944E11,1.51252461E12,0.8516
75,50,1.0E-5,0.5,1.0E-5,3.90272221E11,1.52097705E12,0.8504
75,50,1.0E-5,0.5,1.0E-4,3.93258959E11,1.52395343E12,0.8348
75,50,1.0E-5,0.5,0.001,3.89559222E11,1.5164029E12,0.8652
75,50,1.0E-5,0.9,1.0E-5,3.9056189E11,1.51857005E12,0.8404
75,50,1.0E-5,0.9,1.0E-4,3.88470931E11,1.51129752E12,0.8484
75,50,1.0E-5,0.9,0.001,3.91985496E11,1.52210113E12,0.836
75,50,1.0E-5,1.0,1.0E-5,3.88495507E11,1.51478927E12,0.8464
75,50,1.0E-5,1.0,1.0E-4,3.91538442E11,1.52002783E12,0.8412
75,50,1.0E-5,1.0,0.001,3.90192169E11,1.52001079E12,0.8504
75,50,1.0E-4,0.0,1.0E-5,3.91372046E11,1.52577101E12,0.854
75,50,1.0E-4,0.0,1.0E-4,3.89506236E11,1.51840031E12,0.8536
75,50,1.0E-4,0.0,0.001,3.90799294E11,1.51727571E12,0.8544
75,50,1.0E-4,0.5,1.0E-5,3.92362394E11,1.522228E12,0.8556
75,50,1.0E-4,0.5,1.0E-4,3.91445152E11,1.52290145E12,0.8528
75,50,1.0E-4,0.5,0.001,3.93886695E11,1.52628521E12,0.8564
75,50,1.0E-4,0.9,1.0E-5,3.903855E11,1.51819177E12,0.8568
75,50,1.0E-4,0.9,1.0E-4,3.8898434E11,1.52094061E12,0.8556
75,50,1.0E-4,0.9,0.001,3.92455193E11,1.5243435E12,0.8572
75,50,1.0E-4,1.0,1.0E-5,3.70114658E11,1.48492583E12,0.854
75,50,1.0E-4,1.0,1.0E-4,3.88045668E11,1.51579564E12,0.8576
75,50,1.0E-4,1.0,0.001,3.79088437E11,1.49898055E12,0.8572
75,50,0.001,0.0,1.0E-5,3.90140428E11,1.51651602E12,0.8404
75,50,0.001,0.0,1.0E-4,3.89637046E11,1.51735121E12,0.8408
75,50,0.001,0.0,0.001,3.91415169E11,1.52227466E12,0.8404
75,50,0.001,0.5,1.0E-5,3.89412061E11,1.51622058E12,0.8408
75,50,0.001,0.5,1.0E-4,3.92875901E11,1.52283683E12,0.8404
75,50,0.001,0.5,0.001,3.90228279E11,1.51862143E12,0.8404
75,50,0.001,0.9,1.0E-5,3.90665568E11,1.5157516E12,0.84
75,50,0.001,0.9,1.0E-4,3.87165749E11,1.51349494E12,0.8408
75,50,0.001,0.9,0.001,3.93109635E11,1.5220989E12,0.84
75,50,0.001,1.0,1.0E-5,3.90433538E11,1.52028289E12,0.8404
75,50,0.001,1.0,1.0E-4,3.89866324E11,1.51878749E12,0.8408
75,50,0.001,1.0,0.001,3.90460539E11,1.52145769E12,0.8404
75,128,1.0E-5,0.0,1.0E-5,1.87951317E11,9.8584363E11,0.686
75,128,1.0E-5,0.0,1.0E-4,1.89271425E11,9.8822213E11,0.6828
75,128,1.0E-5,0.0,0.001,1.883648E11,9.8593767E11,0.6792
75,128,1.0E-5,0.5,1.0E-5,1.88686565E11,9.8679416E11,0.7412
75,128,1.0E-5,0.5,1.0E-4,1.88558459E11,9.8731852E11,0.7524
75,128,1.0E-5,0.5,0.001,1.88484977E11,9.8637296E11,0.764
75,128,1.0E-5,0.9,1.0E-5,1.906002E11,9.9081355E11,0.7196
75,128,1.0E-5,0.9,1.0E-4,1.89446455E11,9.8736072E11,0.7004
75,128,1.0E-5,0.9,0.001,1.8865401E11,9.8664002E11,0.6664
75,128,1.0E-5,1.0,1.0E-5,1.88811674E11,9.8659474E11,0.732
75,128,1.0E-5,1.0,1.0E-4,1.88497592E11,9.8608074E11,0.7224
75,128,1.0E-5,1.0,0.001,1.90973362E11,9.903065E11,0.744
75,128,1.0E-4,0.0,1.0E-5,1.89776544E11,9.8966097E11,0.74
75,128,1.0E-4,0.0,1.0E-4,1.88450849E11,9.8559217E11,0.7304
75,128,1.0E-4,0.0,0.001,1.87737817E11,9.8488798E11,0.7248
